x,y,y_upper,y_lower,labels
0,1.5945136877054407,1.5945136877054407,1.5945136877054407,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
1,1.5976568145567942,1.5976568145567942,1.5976568145567942,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
2,1.603285049314776,1.603285049314776,1.603285049314776,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
3,1.5967198333387318,1.5967198333387318,1.5967198333387318,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
4,1.613306858500668,1.613306858500668,1.613306858500668,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
5,1.6062257087985226,1.6062257087985226,1.6062257087985226,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
6,1.592336349728174,1.592336349728174,1.592336349728174,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
7,1.590215325021947,1.590215325021947,1.590215325021947,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
8,1.577990625305135,1.577990625305135,1.577990625305135,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
9,1.5904799648448762,1.5904799648448762,1.5904799648448762,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
10,1.6009337261156642,1.6009337261156642,1.6009337261156642,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
11,1.6139848963249708,1.6139848963249708,1.6139848963249708,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
12,1.610679014354968,1.610679014354968,1.610679014354968,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
13,1.6177653722209433,1.6177653722209433,1.6177653722209433,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
14,1.6294821132124278,1.6294821132124278,1.6294821132124278,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
15,1.619718270889579,1.619718270889579,1.619718270889579,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
16,1.6189469743823302,1.6189469743823302,1.6189469743823302,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
17,1.6177403079326593,1.6177403079326593,1.6177403079326593,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
18,1.6280977181732086,1.6280977181732086,1.6280977181732086,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
19,1.650096188275082,1.650096188275082,1.650096188275082,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
20,1.6421452752188779,1.6421452752188779,1.6421452752188779,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
21,1.6508144266136835,1.6508144266136835,1.6508144266136835,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
22,1.6572305589010488,1.6572305589010488,1.6572305589010488,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
23,1.668799355489712,1.668799355489712,1.668799355489712,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
24,1.6607795970182928,1.6607795970182928,1.6607795970182928,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
25,1.656833205763446,1.656833205763446,1.656833205763446,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
26,1.6607956823613097,1.6607956823613097,1.6607956823613097,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
27,1.6750250757209826,1.6750250757209826,1.6750250757209826,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
28,1.664559510140047,1.664559510140047,1.664559510140047,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
29,1.6574236790585286,1.6574236790585286,1.6574236790585286,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
30,1.651940122057214,1.651940122057214,1.651940122057214,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
31,1.6602146257011066,1.6602146257011066,1.6602146257011066,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
32,1.654970247210831,1.654970247210831,1.654970247210831,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
33,1.6641200089529051,1.6641200089529051,1.6641200089529051,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
34,1.6682673443970473,1.6682673443970473,1.6682673443970473,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
35,1.6747562271842997,1.6747562271842997,1.6747562271842997,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
36,1.6791341467719958,1.6791341467719958,1.6791341467719958,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
37,1.6776676827718375,1.6776676827718375,1.6776676827718375,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
38,1.6783919789164192,1.6783919789164192,1.6783919789164192,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
39,1.668475814506132,1.668475814506132,1.668475814506132,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
40,1.6714694723888475,1.6714694723888475,1.6714694723888475,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
41,1.678928314740425,1.678928314740425,1.678928314740425,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
42,1.671282589349379,1.671282589349379,1.671282589349379,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
43,1.67274422831054,1.67274422831054,1.67274422831054,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
44,1.676883616269052,1.676883616269052,1.676883616269052,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
45,1.6728599841098848,1.6728599841098848,1.6728599841098848,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
46,1.6613547977319358,1.6613547977319358,1.6613547977319358,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
47,1.658276470812965,1.658276470812965,1.658276470812965,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
48,1.656169061639813,1.656169061639813,1.656169061639813,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
49,1.6543548678132907,1.6543548678132907,1.6543548678132907,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
50,1.6590800297686672,1.6590800297686672,1.6590800297686672,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
51,1.6536431876865725,1.6536431876865725,1.6536431876865725,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
52,1.640304836207348,1.640304836207348,1.640304836207348,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
53,1.6512164582834195,1.6512164582834195,1.6512164582834195,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
54,1.655204115881377,1.655204115881377,1.655204115881377,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
55,1.6448337369976311,1.6448337369976311,1.6448337369976311,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
56,1.6556696691101147,1.6556696691101147,1.6556696691101147,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
57,1.651570657159833,1.651570657159833,1.651570657159833,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
58,1.646001225378867,1.646001225378867,1.646001225378867,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
59,1.6432442040425135,1.6432442040425135,1.6432442040425135,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
60,1.6379223725441396,1.6379223725441396,1.6379223725441396,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
61,1.6518988242464887,1.6518988242464887,1.6518988242464887,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
62,1.655130682617611,1.655130682617611,1.655130682617611,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
63,1.6530262020186615,1.6530262020186615,1.6530262020186615,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
64,1.6406164570952475,1.6406164570952475,1.6406164570952475,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
65,1.6422567969135418,1.6422567969135418,1.6422567969135418,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
66,1.6486520442760222,1.6486520442760222,1.6486520442760222,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
67,1.6528940820511826,1.6528940820511826,1.6528940820511826,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
68,1.6576077928453756,1.6576077928453756,1.6576077928453756,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
