x,y,y_upper,y_lower,labels
0,2.3084782608695646,2.3084782608695646,2.3084782608695646,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
1,1.9152173913043478,1.9152173913043478,1.9152173913043478,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
2,1.989565217391305,1.989565217391305,1.989565217391305,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
3,1.8730434782608698,1.8730434782608698,1.8730434782608698,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
4,2.29,2.29,2.29,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
5,2.344130434782609,2.344130434782609,2.344130434782609,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
6,2.258478260869565,2.258478260869565,2.258478260869565,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
7,2.479565217391304,2.479565217391304,2.479565217391304,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
8,3.024347826086957,3.024347826086957,3.024347826086957,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
9,3.142391304347827,3.142391304347827,3.142391304347827,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
10,3.215652173913044,3.215652173913044,3.215652173913044,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
11,3.2080434782608687,3.2080434782608687,3.2080434782608687,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
12,3.8508695652173905,3.8508695652173905,3.8508695652173905,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
13,3.7023913043478256,3.7023913043478256,3.7023913043478256,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
14,3.6002173913043474,3.6002173913043474,3.6002173913043474,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
15,3.8406521739130444,3.8406521739130444,3.8406521739130444,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
16,3.3526086956521732,3.3526086956521732,3.3526086956521732,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
17,4.092173913043478,4.092173913043478,4.092173913043478,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
18,6.751739130434783,6.751739130434783,6.751739130434783,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
19,8.410434782608695,8.410434782608695,8.410434782608695,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
20,11.197826086956523,11.197826086956523,11.197826086956523,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
21,12.181521739130437,12.181521739130437,12.181521739130437,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
22,12.572391304347825,12.572391304347825,12.572391304347825,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
23,12.997608695652174,12.997608695652174,12.997608695652174,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
24,11.767173913043477,11.767173913043477,11.767173913043477,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
25,12.589363602752588,12.589363602752588,12.589363602752588,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
26,9.660058885530638,9.660058885530638,9.660058885530638,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
27,9.387129463586719,9.387129463586719,9.387129463586719,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
28,8.245182144774622,8.245182144774622,8.245182144774622,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
29,11.582963803303818,11.582963803303818,11.582963803303818,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
30,11.547525779978363,11.547525779978363,11.547525779978363,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
31,13.246808814720353,13.246808814720353,13.246808814720353,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
32,12.198398050029512,12.198398050029512,12.198398050029512,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
33,12.356865568163842,12.356865568163842,12.356865568163842,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
34,11.895886223851809,11.895886223851809,11.895886223851809,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
35,11.73642343531335,11.73642343531335,11.73642343531335,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
36,12.57596763981635,12.57596763981635,12.57596763981635,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
37,12.281700345096,12.281700345096,12.281700345096,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
38,12.551856591576213,12.551856591576213,12.551856591576213,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
39,12.397662713300873,12.397662713300873,12.397662713300873,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
40,11.879177364304907,11.879177364304907,11.879177364304907,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
41,11.478126778408594,11.478126778408594,11.478126778408594,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
42,12.03141966195542,12.03141966195542,12.03141966195542,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
43,10.944825988580897,10.944825988580897,10.944825988580897,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
44,10.980435531114372,10.980435531114372,10.980435531114372,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
45,12.178346630416172,12.178346630416172,12.178346630416172,ERX2277510_E-MTAB-6318DRIP_mOHT.hg38.bw
