symbol,corr,pval,type
AAAS,-0.21370967741935487,0.24726696044967297,qVal
AAK1,0.24125286478227656,0.1687843356005479,qVal
AAMP,0.07653743315508021,0.67101610561633,qVal
AARS2,-0.11543932596564174,0.48868605180605845,qVal
ABCA7,0.3691876750700281,0.02973733949108578,qVal
ABCB6,0.31223328591749644,0.06035816355677549,qVal
ABCB8,0.1556451612903226,0.4015080593952036,qVal
ABCB9,-0.31057373162636315,0.06179169999181868,qVal
ABCC10,-0.5225140712945591,6.481386153998805e-4,qVal
ABCF2,0.2980901451489687,0.08709734628384583,qVal
ABHD1,0.08121657754010696,0.6521050839800289,qVal
ABHD12,-0.25482625482625487,0.13344237670938458,qVal
ABHD14A,-0.04033771106941838,0.8043551753481495,qVal
ABHD14A-ACY1,-0.1311740890688259,0.4246431205149597,qVal
ABHD14B,0.16547842401500937,0.30633975461261814,qVal
ABHD17A,-0.09034749034749036,0.599015253146675,qVal
ABHD8,0.00768716577540107,0.9666739253872244,qVal
ABI2,0.42045454545454547,0.01730069117219839,qVal
ABL1,0.1534412955465587,0.34971404973021286,qVal
ABL2,0.4791552686289528,0.0026073058088396574,qVal
ACAA1,-0.10313216195569136,0.5602528547231476,qVal
ACAD11,0.2635630498533725,0.14469222490594133,qVal
ACADM,0.0985485103132162,0.5779069915199134,qVal
ACADVL,-0.15452961672473872,0.3334725726149444,qVal
ACAP1,0.04267425320056899,0.8015324205938996,qVal
ACAP3,-0.22388663967611336,0.17014523470079695,qVal
ACBD3,0.05855855855855855,0.7298756098046625,qVal
ACBD4,0.22955465587044532,0.1593724851492806,qVal
ACBD6,-0.1564993564993565,0.3606322538132869,qVal
ACD,-0.20952380952380956,0.22614634383046245,qVal
ACHE,-0.11637630662020908,0.4673473255650528,qVal
ACIN1,-0.05017421602787458,0.7547377106965152,qVal
ACLY,0.19906191369606,0.21737423824346222,qVal
ACO2,-0.15909943714821762,0.3255629390349943,qVal
ACOX3,-0.028958944281524925,0.875020424009105,qVal
ACP2,-0.16376518218623481,0.3179281560096742,qVal
ACSF3,-0.0288515406162465,0.8692388331903897,qVal
ACSL3,0.4811306340718105,0.0043728182152440245,qVal
ACSM3,0.3552123552123553,0.034140764859178975,qVal
ACSS2,0.41811497326203206,0.016152858622889496,qVal
ACTB,-0.0426829268292683,0.7905162708023713,qVal
ACTG1,-0.42073170731707327,0.006554503642645892,qVal
ACTL10,-0.23891868800448357,0.14856703420631381,qVal
ACTN1,0.48236397748592863,0.0018281390721205265,qVal
