total_reads,reads_aligned,duplicate_reads,sample
36770871,34630651,11440380,SRX2642959_DRIPseq_B1_3_Stromal
43994544,41513650,14750197,SRX2642960_DRIPseq_B1_3_Basal
43900377,41382389,18560532,SRX2642961_DRIPseq_B1_3_LP
26415379,24860100,7298675,SRX2642962_DRIPseq_B1_3_ML
39952938,37278699,9028595,SRX2642963_DRIPseq_B1_4_Stromal
32490088,30409942,5853486,SRX2642964_DRIPseq_B1_4_Basal
37342143,34939833,13564418,SRX2642965_DRIPseq_B1_4_LP
36200667,33908028,10731694,SRX2642966_DRIPseq_B1_4_ML
31454279,30258832,8928514,SRX2642969_DRIPseq_B1_4_LP_RH
28993725,27791949,7104047,SRX2642970_DRIPseq_B1_4_ML_RH
21372389,16259409,10063425,SRX2675003_HKE293-D210N-V5ChIP-Rep1
17531175,13705815,2233197,SRX2675005_HKE293-D210N-V5ChIP-Rep2
8524113,6399842,951276,SRX2675007_HKE293-D210N-V5ChIP-Rep3
12610857,9764721,1364074,SRX2675009_HKE293-WKKD-V5ChIP
23535620,18205180,9311258,SRX2675011_HKE293-ΔHC-V5ChIP
25305275,19451461,8593721,SRX2675012_K562-D210N-V5ChIP-Rep1
21190261,16460834,7220243,SRX2675013_K562-D210N-V5ChIP-Rep2
12592536,9871815,3397967,SRX2675016_HKE293-DRB--V5ChIP-Rep1
12986051,10144160,3966227,SRX2675017_HKE293-DRB--V5ChIP-Rep2
16475809,12988955,3195657,SRX2675018_HKE293-DRBand-V5ChIP-Rep1
12448581,9833319,2713731,SRX2675019_HKE293-DRBand-V5ChIP-Rep2
15118428,11897525,4395699,SRX2675020_HKE293-Post-DRB-V5ChIP-Rep1
12246508,9645805,4128033,SRX2675021_HKE293-Post-DRB-V5ChIP-Rep2
15336789,11596355,4891627,SRX2683574_chipseqSRSF2P95H5h_V5_rep1
20538370,15255932,4628323,SRX2683575_chipseqSRSF2P95H5h_V5_rep2
15894285,12064658,3538360,SRX2683578_chipseqSRSF2P95HCtr_V5_rep1
16776836,12670513,2824733,SRX2683579_chipseqSRSF2P95HCtr_V5_rep2
20884050,16090066,4242562,SRX2683586_chipseqSRSF2WT5h_V5_rep1
13256438,10130959,5114345,SRX2683587_chipseqSRSF2WT5h_V5_rep2
21545835,16620782,4329608,SRX2683590_chipseqSRSF2WTCtr_V5_rep1
10629090,8087362,4065790,SRX2683591_chipseqSRSF2WTCtr_V5_rep2
12515266,9310884,1140529,SRX2683594_chipseqU2AF35Q157P5h_V5_rep1
11824506,8677435,1402310,SRX2683595_chipseqU2AF35Q157P5h_V5_rep2
11507500,8661628,699954,SRX2683597_chipseqU2AF35Q157PCtr_V5_rep1
11174836,8337099,639543,SRX2683598_chipseqU2AF35Q157PCtr_V5_rep2
14522481,10647464,1570466,SRX2683601_chipseqU2AF35WT5h_V5_rep1
12638234,9294264,1311099,SRX2683602_chipseqU2AF35WT5h_V5_rep2
12848789,9556165,1429616,SRX2683604_chipseqU2AF35WTCtr_V5_rep1
15281797,11268071,1799324,SRX2683605_chipseqU2AF35WTCtr_V5_rep2
12355174,9533476,2711647,SRX2683608_chipseqU2AF35S34F5h_V5_rep1
11666679,8865519,2852216,SRX2683609_chipseqU2AF35S34F5h_V5_rep2
8972852,6919299,3060823,SRX2683610_chipseqU2AF35S34FCtr_V5_rep1
9002704,6915810,2330006,SRX2683611_chipseqU2AF35S34FCtr_V5_rep2
67122736,44032463,3375922,SRX2733011_DRIP01
70080298,41619587,5074678,SRX2733012_DRIP02
66563624,41038124,4513332,SRX2733013_DRIP03
82999762,41973090,5577897,SRX2733014_DRIP04
25036573,9415229,2024977,SRX2831469_Rand_WT_0029
22395202,11268153,1440886,SRX2831471_R-_WT_0029
11970358,3944998,722743,SRX2831472_R-_1_dsH1_0029
27470739,12014395,2461653,SRX2831473_Rand_1_dsH1_0029
22170922,8346221,1656451,SRX2831475_Rand_WT_0030
19060921,9612479,1124737,SRX2831477_R-_WT_0030
25878628,13546346,1827840,SRX2831478_R-_2_dsH1_0030
23283396,12474923,1317344,SRX2831479_Rand_2_dsH1_0030
68016960,60924938,12792607,SRX2918366_S96_DRIP_Seq_2
44702503,35376320,6633647,SRX3084730_Control_DRIP-seq
50820268,39568256,5760887,SRX3084731_Scramble_DRIP-seq
41788432,34231664,4605866,SRX3084732_Top1_KD_rep_1_DRIP-seq
